,Location,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
88,Lithuania,2.6228952,2.562497,2.4575436,2.3390498,2.2381973,2.1854784,2.1708822,2.1623223,2.1581128,2.1569443,2.1565366,2.1559894,2.155749,2.155428,2.1547065,2.1535006,2.1348727,2.1099262,2.0821567,2.0347435
89,Luxembourg,2.4141986,2.406921,2.393667,2.3777828,2.3630142,2.3525767,2.3409336,2.3251832,2.3093317,2.2956142,2.2866066,2.2799177,2.271459,2.263141,2.2557917,2.2507849,2.2421048,2.2360168,2.2501717,2.281961
90,Madagascar,1.381449,1.3746924,1.3666121,1.3581164,1.3500865,1.3435353,1.337218,1.3298308,1.3226511,1.3169076,1.3139654,1.3133816,1.3134044,1.3136876,1.3139061,1.313712,1.3087723,1.3050076,1.317766,1.3462192
91,Malawi,1.4951744,1.498579,1.5010514,1.5026326,1.5027418,1.5010101,1.4957471,1.4867827,1.4765505,1.4673817,1.4614309,1.4583843,1.4561409,1.4543709,1.4532033,1.4522938,1.4502456,1.4490033,1.4565415,1.4737048
92,Malaysia,0.538535,0.5374443,0.5353831,0.5327253,0.5298332,0.5271182,0.5232877,0.51764303,0.5116613,0.50683945,0.50471437,0.5045786,0.50465363,0.5048685,0.5051223,0.5053054,0.5052068,0.5057711,0.50962436,0.51677495
93,Maldives,0.58993876,0.58877534,0.58702815,0.58523214,0.584007,0.58402145,0.58605146,0.59058344,0.5966904,0.6035514,0.6104092,0.6151103,0.61712396,0.61778903,0.61867195,0.62153107,0.6259433,0.6312329,0.6475342,0.6767983
94,Mali,0.46273917,0.46236807,0.461352,0.46005473,0.45889995,0.45828143,0.45824644,0.45843273,0.4587051,0.45892727,0.4589474,0.45867664,0.4581158,0.4573476,0.45640188,0.45531684,0.45113596,0.4478269,0.45331204,0.46643013
95,Malta,1.6581782,1.65883,1.6587477,1.6587263,1.658997,1.6601042,1.6642274,1.6709348,1.6787502,1.6849859,1.6881528,1.6862053,1.6801727,1.67213,1.6639612,1.6581655,1.6500936,1.6453131,1.6645379,1.7075622
96,Mauritania,0.45359582,0.45262483,0.45071825,0.44846168,0.44635403,0.44502896,0.44428632,0.44358185,0.44293597,0.44238496,0.44195142,0.44131404,0.44026014,0.4389381,0.43766916,0.4365655,0.43391588,0.4320762,0.43717754,0.44893205
97,Mauritius,1.1532292,1.1430511,1.1328682,1.1245594,1.1200044,1.1208782,1.1293159,1.1438334,1.1606243,1.176106,1.1868048,1.1944032,1.20238,1.2097242,1.215507,1.218767,1.2157825,1.2119317,1.2120066,1.2132618
98,Mexico,1.5472733,1.5264416,1.4889674,1.4456835,1.4074395,1.3850431,1.377485,1.3751546,1.375734,1.3769561,1.3766127,1.3722367,1.3641475,1.3540283,1.3436507,1.3348475,1.3005874,1.270479,1.2797289,1.3066685
99,Mongolia,3.0018415,3.089769,3.1735888,3.2568054,3.3423612,3.4334779,3.5582702,3.7179825,3.8780174,4.001747,4.0545287,4.037995,3.990361,3.932343,3.882537,3.8610044,3.8991175,3.9663818,4.0558085,4.1884017
100,Montenegro,1.8867228,1.8827143,1.8793066,1.8762443,1.8735002,1.8710674,1.8667655,1.8600311,1.8526952,1.846705,1.8441362,1.8459601,1.850477,1.8553364,1.8582247,1.856931,1.8304503,1.8063856,1.8291212,1.8887196
101,Morocco,0.40593973,0.40553078,0.40487376,0.4041514,0.40360126,0.40346256,0.4038566,0.40459824,0.4054404,0.40616056,0.40653104,0.4059693,0.4044229,0.40248793,0.4007799,0.3999307,0.3998044,0.4002428,0.4030848,0.40852243
